动物名称,动物简介,动物图片,动物声音
35种经典动物合集,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/1_35%E7%A7%8D%E5%8A%A8%E7%89%A9%E5%8F%AB%E5%A3%B0%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8%E5%90%88%E9%9B%86.jpeg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A52Z%2F-1%2F%2F6f9d3b63e22e61029f50cb2105f0438904b0e307bf9f723e758a1369b3e67885,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/1_35%E7%A7%8D%E5%8A%A8%E7%89%A9%E5%8F%AB%E5%A3%B0%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8%E5%90%88%E9%9B%86.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A55Z%2F-1%2F%2F48de9dd53e616a814e9c72188216c09528bca879bf5565d2c6ae5db29556dd2d
非洲动物声音合集,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/2_%E9%9D%9E%E6%B4%B2%E5%8A%A8%E7%89%A9%E5%A3%B0%E9%9F%B3%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2F87c15b4b32fc8f844a64a0949efcac59d0d85c6c9b84bff70216567777382425,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/2_%E9%9D%9E%E6%B4%B2%E5%8A%A8%E7%89%A9%E5%A3%B0%E9%9F%B3%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A55Z%2F-1%2F%2F0e7ec51bae3c0cb43368e59cc6b3951ccabb66268f69adf361e3933e45caefed
熊,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/3_bear-%E7%86%8A.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Fa303028784b0d33e2b4394822e07dfbc775f49d96f9084523cf3a8e234a05fc3,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/3_bear-%E7%86%8A.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A51Z%2F-1%2F%2Fa81e45ee41196977824424e035492720aa89f8206efe99e70897b1a574dbea07
乌鸦,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/4_blackbird%E4%B9%8C%E9%B8%A6.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2F71d439537c1d65573d9150bb3e3ad9abc7a874b7fff86c39bc80e097eb494821,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/4_blackbird%E4%B9%8C%E9%B8%A6.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A51Z%2F-1%2F%2Fdff4c60327ae0589cd3d6b31e651ca4727a0b863120f19bd99f094c0ade255ed
猫,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/5_cat%E7%8C%AB.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2Fab54a7fa3489966c5cf6d4ba073a2e8be57cebdf1a2bbba5031ed68c2209a065,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/5_cat%E7%8C%AB.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A52Z%2F-1%2F%2Fc18c5880d08c7a6055d499ea78c2aae4c29ba6f045a2e0bf6ebd7faa0dd777a1
变色龙,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/6_chameleon%E5%8F%98%E8%89%B2%E9%BE%99.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F049fd76d027f70737629b88fcde8acda8e655c2914db38edb4cf08afe6206d61,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/6_chameleon%E5%8F%98%E8%89%B2%E9%BE%99.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A52Z%2F-1%2F%2F0b5ec4f58d824f33b2dc556f80ca18011637c2e722b50f60fc947efbd5fa8ca3
黑猩猩,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/7_chimpanzee%E9%BB%91%E7%8C%A9%E7%8C%A9.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2F854d75625789e3df1ba1b18700cc3e51e414c64e19c79b657ae970f02b6e9703,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/7_chimpanzee%E9%BB%91%E7%8C%A9%E7%8C%A9.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A52Z%2F-1%2F%2Ff24372ca80fe76bea901a8e40483b8fa68be467d6e2f4c46593d7208966da733
奶牛,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/8_cow%E5%A5%B6%E7%89%9B.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Ffaf5dc7e6707ab713d57e98590751ca87420c3a7fa722006ea591fe25483a59e,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/8_cow%E5%A5%B6%E7%89%9B.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A52Z%2F-1%2F%2F4cd86e7fedc0494af2ff7669038db38a7eac65295f52a723149213901a117e77
狗,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/9_dog%E7%8B%97.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F9a99b32213fbb66b337d4a5af6a6ed961d4c2c3cfbe3d368227ef78b938ce29c,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/9_dog%E7%8B%97.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A53Z%2F-1%2F%2Fd778f02bac0aae5e48bd42761cfa4e7cdb3029a8f9e7e826d809dda5222fc501
鸭子,,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/10_duck%E9%B8%AD%E5%AD%90.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Fca313e28d3c85e55faa4edea55b97413421bc2aeca467640588a1dfea6bf3f3a,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/10_duck%E9%B8%AD%E5%AD%90.mp3?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-18T10%3A00%3A53Z%2F-1%2F%2F807c71b3bfd9f3fb2c7551292ec58423aaafa7cc5f06c085b058dfa980ca3f17
