动物名称,动物简介,动物图片,动物声音
35种经典动物合集,奶牛，猫，鸭子，马，大象，大猩猩，大公鸡，山羊，长颈鹿，斑马，狗，狮子，黄蜂，变色龙等,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/1_35%E7%A7%8D%E5%8A%A8%E7%89%A9%E5%8F%AB%E5%A3%B0%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8%E5%90%88%E9%9B%86.jpeg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A52Z%2F-1%2F%2F6f9d3b63e22e61029f50cb2105f0438904b0e307bf9f723e758a1369b3e67885,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/1_35%E7%A7%8D%E5%8A%A8%E7%89%A9%E5%8F%AB%E5%A3%B0%E9%9F%B3%E6%95%88%E5%A4%A7%E5%85%A8%E5%90%88%E9%9B%86.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A30%3A01Z%2F-1%2F%2Faeaf1c245d1be7a260e9eb2af3f6153b22e9f59e7a4d7298a5de2d6cb7ddf457
熊,哺乳动物，头大，尾巴短，四肢短而粗，脚掌大，趾端有带钩的爪，能爬树。主要吃动物性食物，也吃水果、坚果等。种类很多，如棕熊、马来熊、黑熊。有的地区叫熊瞎子,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/3_bear-%E7%86%8A.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Fa303028784b0d33e2b4394822e07dfbc775f49d96f9084523cf3a8e234a05fc3,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/3_bear-%E7%86%8A.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A28%3A59Z%2F-1%2F%2Fb204b8654cd23948e6b70fe839e60671983adb55e260b3c2a4d5f27129f1194c
乌鸦,鸟，嘴大而直，全身羽毛黑色，翅膀有绿光。多群居在树林中或田野间，以谷物、果实、昆虫等为食物。有的地区叫老鸹、老鸦。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/4_blackbird%E4%B9%8C%E9%B8%A6.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2F71d439537c1d65573d9150bb3e3ad9abc7a874b7fff86c39bc80e097eb494821,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/4_blackbird%E4%B9%8C%E9%B8%A6.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A09Z%2F-1%2F%2F3ba820f732f58d67a01a0c137d2f8d4a9a94512e3fd680415ffa5bacf807915d
猫,哺乳动物，面部略圆，躯干长，耳壳短小，眼大，瞳孔随光线强弱而缩小放大，四肢较短，掌部有肉质的垫，行动敏捷，善跳跃，能捕鼠，毛柔软，有黑、白、黄、灰褐等色。种类很多,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/5_cat%E7%8C%AB.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2Fab54a7fa3489966c5cf6d4ba073a2e8be57cebdf1a2bbba5031ed68c2209a065,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/5_cat%E7%8C%AB.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A10Z%2F-1%2F%2F724e0316ccdf8a764b9e73e1bb0445d88cb85e058138ae1367454e8b78a64194
变色龙,脊椎动物，躯干稍扁，皮粗糙，四肢稍长，运动极慢。舌长，可舔食虫类。表皮下有多种色素块，能随时变成不同的保护色。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/6_chameleon%E5%8F%98%E8%89%B2%E9%BE%99.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F049fd76d027f70737629b88fcde8acda8e655c2914db38edb4cf08afe6206d61,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/6_chameleon%E5%8F%98%E8%89%B2%E9%BE%99.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A11Z%2F-1%2F%2F7ec9f2017d64ba8dc9c49a5a5d453bb943a3da734d04d10653d72103b18f00ba
黑猩猩,哺乳动物。直立时高可达1.5米，毛黑色。头较圆，面部灰褐色，无毛。眉骨高。生活在非洲森林中，群居树上，有筑巢习性，食野果、小鸟和昆虫。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/7_chimpanzee%E9%BB%91%E7%8C%A9%E7%8C%A9.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A53Z%2F-1%2F%2F854d75625789e3df1ba1b18700cc3e51e414c64e19c79b657ae970f02b6e9703,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/7_chimpanzee%E9%BB%91%E7%8C%A9%E7%8C%A9.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A12Z%2F-1%2F%2Fd605ef7c453e3d5e0fcb404c11d785884fc6747d6f3fb7f2044b8f2a122a78dd
奶牛,奶牛是乳用品种的黄牛，经过高度选育繁殖的优良品种，我国的奶牛主要以黑白花奶牛为主。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/8_cow%E5%A5%B6%E7%89%9B.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Ffaf5dc7e6707ab713d57e98590751ca87420c3a7fa722006ea591fe25483a59e,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/8_cow%E5%A5%B6%E7%89%9B.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A14Z%2F-1%2F%2F65bdec2c5011621b83555e4752841010baf6d733f6e9c1a28fc7ebb880a0340a
狗,哺乳动物，种类很多，嗅觉和听觉都很灵敏，舌长而薄，可散热，毛有黄、白、黑等颜色。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/9_dog%E7%8B%97.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F9a99b32213fbb66b337d4a5af6a6ed961d4c2c3cfbe3d368227ef78b938ce29c,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/9_dog%E7%8B%97.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A16Z%2F-1%2F%2Fca7151762f4370d6d6a4a97b1506826f5ce7bb4d59cdd0947a35d1c54617da6e
鸭子,鸟，嘴扁腿短，趾间有蹼，善游泳，有家鸭、野鸭两种。毛可用来絮被子、羽绒服或填充枕头。通常指家鸭。通称鸭子,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/10_duck%E9%B8%AD%E5%AD%90.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2Fca313e28d3c85e55faa4edea55b97413421bc2aeca467640588a1dfea6bf3f3a,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/10_duck%E9%B8%AD%E5%AD%90.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A17Z%2F-1%2F%2F599c8f1bb88cb253d7abb07b0afc974e5ee7a7dbfef54962d9a38f8f45a1193e
大象,哺乳动物，是陆地上现存最大的动物，耳朵大，鼻子长圆筒形，能蜷曲，多有一对长大的门牙伸出口外，全身的毛很稀疏，皮很厚，吃嫩叶和野菜等,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/11_elephant%E5%A4%A7%E8%B1%A1.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F79970cc177ed4c33e3986ae432ed08a13491da46154c4687228a3f6fff766916,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/11_elephant%E5%A4%A7%E8%B1%A1.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A18Z%2F-1%2F%2F5c4b669f4b74e1ee3a50a3bb9676a3bd5e2535ce3a93c81863f911c2f13ce7ca
苍蝇,昆虫。 种类很多，通常指家蝇。头部有一对复眼。幼虫叫蛆。成虫能传播霍乱、伤寒、痢疾等多种疾病。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/12_fly%E8%8B%8D%E8%9D%87.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F88db975e0b8064c8c40ec73d951baabafd5b123a948cdb83bdac4f61d4df6b91,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/12_fly%E8%8B%8D%E8%9D%87.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A22Z%2F-1%2F%2Fb47b5d9c6b1a6c6be682519d179b9cf70ef6bae011aecf1a03f77121ff9eecbd
青蛙,两栖动物，头部扁而宽，口阔，眼大，皮肤光滑，颜色因环境而不同，通常为绿色，有灰色斑纹，趾间有蹼。生活在水中或近水的地方，善跳跃，会游泳，多在夜间活动，雄的叫声响亮。吃田间的害虫，对农业有益。通称田鸡。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/13_frog%E9%9D%92%E8%9B%99.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A54Z%2F-1%2F%2F067c7ad408bbb7a137fc6437cb6969d4ec60852633d2d67cd0880c05b51cea68,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/13_frog%E9%9D%92%E8%9B%99.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A23Z%2F-1%2F%2F49e5651196fd3a52fa52f1c325542af7ba15862f549f93d0daa54fe3ef32bde9
长颈鹿,哺乳动物。颈很长，雄性体高约6米，是陆地上最高的动物。雌雄都有一对小角。眼大而突出，位于头顶上。全身有棕黄色网状斑纹。奔跑很快。食植物叶。产于非洲。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/14_giraffe%E9%95%BF%E9%A2%88%E9%B9%BF.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F2a596117aab90ab5edd48a0fe8a2db5ed4dfc4e0852cb9bc7b264730aa4316ee,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/14_giraffe%E9%95%BF%E9%A2%88%E9%B9%BF.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A25Z%2F-1%2F%2F94ac19ec71b1f1332aae169127793539948d1be55c80c87af891b22f443c987a
山羊,羊的一种，角的基部略作三角形，角尖向后，四肢强壮，善于跳跃，毛不弯曲，公羊有须，变种很多，有黑、灰等颜色。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/15_goat%E5%B1%B1%E7%BE%8A.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2Fcb113bde61abdd9a9919bfddb539e242cd5c0ab4f09e12ebb221c7a968b09fc4,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/15_goat%E5%B1%B1%E7%BE%8A.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A27Z%2F-1%2F%2F10d5a6aadff099c22f0652ecab06b7bf33161367e11ceef64804559ad3a1067d
大猩猩,哺乳动物。类人 猿的一种。体躯壮大，雄性高约1.65米，雌性高约1.40米。前肢比后肢长，两臂展开可达2.72米。毛黑 褐色，略发灰。性凶暴。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/16_gorilla%E5%A4%A7%E7%8C%A9%E7%8C%A9.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F59be15ecbeff31674fc94b7e13ddf4827903da51ee7a5c1afe5e8f9471bae204,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/16_gorilla%E5%A4%A7%E7%8C%A9%E7%8C%A9.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A29Z%2F-1%2F%2F301967da7562bf970dacbe0db9822763bb624ad4f850ffebc97a18e8ee6e98c7
豚鼠,也叫天竺鼠。哺乳动物。体长约25厘米，无尾。体色白、黑、黄褐不一。穴居，夜间活动。食植物性食物。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/17_guineapig%E8%B1%9A%E9%BC%A0.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F5a2fb047c0f843d17a280d2cbe768e294f1eed42a600140fa53c1ad7e8919a62,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/17_guineapig%E8%B1%9A%E9%BC%A0.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A30Z%2F-1%2F%2F53871f452fd5a3769d9b5462e4d8001a83899fb1b78b38d0eacb6a48eac645a9
刺猬,哺乳动物。体肥短，长约25厘米。四肢短，爪弯而锐利。眼和耳都小。毛短，有短而密的刺，遇敌害时能蜷曲成球，以刺保护身体。夜间活动，主食昆虫和蠕虫。对农业有益。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/18_hedgehog%E5%88%BA%E7%8C%AC.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F507884e9186f34fc1b2922715855007c8fb704377077d2c2d28c97b804277e93,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/18_hedgehog%E5%88%BA%E7%8C%AC.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A32Z%2F-1%2F%2Fdb194cb8211914b9a0f9e783d4dd64d961d3ef2ec43a30b4dc5e0d5d9279e06f
河马,哺乳动物。体肥重。长3—4米，重达3—4吨。皮肤裸露，黑褐色。头大，嘴阔，耳小，尾短。大部分时间生活在水中，食草类和水生植物。分布于非洲的河流和湖沼地带。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/19_hippo%E6%B2%B3%E9%A9%AC.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2Fd23d7acbedec72feb4872567bc2aee1189d765ae98b2f585b73537f19dc60783,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/19_hippo%E6%B2%B3%E9%A9%AC.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A34Z%2F-1%2F%2F42061ef39c6634436fd42efdb6dea51e1cdea0f73d5f3f0006fe989099bb88c1
马,哺乳动物，头小，面部长，耳壳直立，颈部有鬣，四肢强健，每肢各有一蹄，善跑，尾生有长毛。是重要的力畜之一，可供拉车、耕地、乘骑等用。皮可制革。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/20_house%E9%A9%AC.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F5e867b5d97915f57624818004c469c9ef242138c0f1b13d48768e3adde2d2f81,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/20_house%E9%A9%AC.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A35Z%2F-1%2F%2F7f38dc0bb2db6651e7a88cfbe23b8976f7ad5b7467d4a9cd377e8b6ac6fcaa47
朱鹭,又称朱_。 涉禽类，体形如鹤，而羽色淡红，嘴与脚亦呈淡红色。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/21_ibis%E6%9C%B1%E9%B9%AD.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A55Z%2F-1%2F%2F4d6438822f6e88fc1fbbfc7ce4b5d8869d100f6117642a4b2eae9ebf9f96c6cd,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/21_ibis%E6%9C%B1%E9%B9%AD.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A37Z%2F-1%2F%2Ffaeaf9e0cb2858bb39d76ca9555ca871304851e2f1e917ffab517a293681b339
豹,哺乳动物，像虎而较小，身上有很多斑点或花纹。性凶猛，能上树，捕食其他兽类，伤害人畜。常见的有金钱豹、云豹、雪豹、猎豹等。通称豹子,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/22_leopard%E8%B1%B9.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2Fdfd3a4fa050b95a6e51a93473cd7f8b7dd03fd1603daa06a8b67fd58c20cb9cf,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/22_leopard%E8%B1%B9.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A38Z%2F-1%2F%2F63148803b8f16a6c4071c656be4753bdfaa776baab4b6f7fc06447d6ebc7d6fb
狮子,哺乳动物，身体长约3米，四肢强壮，有钩爪，掌部有肉块，尾巴细长，末端有一丛毛，雄狮的颈部有长鬣，全身毛棕黄色。生活在非洲和亚洲西部。捕食羚羊、斑马等动物，吼声很大，有“兽王”之称。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/23_lion%E7%8B%AE%E5%AD%90.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2Fa48bc6291f7daa577600c7409e288c1e5c93f7636c9423f99a2bd0a82c5503ad,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/23_lion%E7%8B%AE%E5%AD%90.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A38Z%2F-1%2F%2Fed142fc28cc2b181150a0770063222e83f5faac847bfb10bcf5bb4ccc3e798c7
猫鼬,狐_，头尾长42-60厘米，是一种小型的哺乳动物。体形粗笨。四肢短，后足仅具4趾，趾间有蹼；尾长而圆，约为体长的2/3，上被小鳞片及稀疏的毛。背部毛色黑褐，杂以黄色毛尖，绒毛为深咖啡色；尾两色，上面棕黑色，尾基部和下部为淡黄色。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/24_meerkat%E7%8C%AB%E9%BC%AC.jpeg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2F5c764754f2cc68348698888ee6c4c0ef242eae022e9ad4c36e2b3c67d76c18aa,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/24_meerkat%E7%8C%AB%E9%BC%AC.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A39Z%2F-1%2F%2F85fa79438ceb9703097ca8df1bd9e775194f2f284a44e17adc508be55e7897d6
鼹鼠,哺乳动物。体形像老鼠，嘴尖，生活在田间，挖掘洞道。食昆虫等小动物，也伤害作物，对农业有害。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/25_mole%E9%BC%B9%E9%BC%A0.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2F6a029a7094e5819a30f59127e789139f5a1f13dc8a0b0c6fdb73fb934b1ee2e5,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/25_mole%E9%BC%B9%E9%BC%A0.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A40Z%2F-1%2F%2F17cf9cd10c84fb273e15e4d00768cbe5d7fb5aa58d05c7a1e4093b89e23cf93f
猩猩,哺乳动物，比猴子大，头尖，吻部突出，两臂长，全身有赤褐色长毛，没有臀疣。生活在苏门答腊和加里曼丹的森林中，吃野果等。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/26_orangutan%E7%8C%A9%E7%8C%A9.jpg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2F69450a15d210017e071977f5d445e04152af51e2cede6558da712c7c8ea1a5c4,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/26_orangutan%E7%8C%A9%E7%8C%A9.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A41Z%2F-1%2F%2Faca5b7a11f91f20a2af183e962ac381a432239ffb56597b9c9b92f8f9d944724
孔雀,鸟，头上有羽冠，雄的尾巴的羽毛很长，颜色绚丽，展开时像扇子。 常见的有绿孔雀和白孔雀两种。成群居住在热带森林中或河岸边，吃谷类和果实等。多饲养来供观赏。,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/27_peacock%E5%AD%94%E9%9B%80.jpeg?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-09-29T09%3A20%3A56Z%2F-1%2F%2F87e7d1c196fad23edd76ef1d4b8b534fc43c56c30986d89fcf866d7845a72370,http://dbp-resource.gz.bcebos.com/3b759ccf-2686-803d-bd94-d7847a94fbda/27_peacock%E5%AD%94%E9%9B%80.wav?authorization=bce-auth-v1%2Fa4d81bbd930c41e6857b989362415714%2F2018-11-05T12%3A29%3A41Z%2F-1%2F%2F81bee4b8dc9f7503275390beba12d91fbb89c64475dad9ee44b86bc65eb6fbec
